#{"t_start": 1634989009.620602, "env_id": null}
r,l,t
0.15,5,2895.510537
0.36,8,2899.894914
1.05,14,2907.627624
0.21,6,2910.896039
0.28,7,2914.645801
1.05,14,2922.262223
0.1,4,2924.512293
0.91,13,2931.665032
0.45,9,2936.513589
0.45,9,2941.413369
0.78,12,2947.812877
0.1,4,2959.16561
0.66,11,2965.082839
0.1,4,2967.382218
0.55,10,2972.816063
1.05,14,2980.348224
0.21,6,2983.56603
0.15,5,2986.316572
0.78,12,2993.116178
0.15,5,2996.283969
0.15,5,2999.500129
0.45,9,3004.468593
0.21,6,3007.719629
0.36,8,3012.154156
0.55,10,3017.460263
0.28,7,3021.312906
0.36,8,3025.564738
0.55,10,3031.199774
0.1,4,3033.43623
0.21,6,3036.788552
0.78,12,3043.174944
0.91,13,3050.09654
0.28,7,3053.931118
0.15,5,3056.849681
0.1,4,3059.133723
0.66,11,3065.037227
1.2,15,3072.907063
0.36,8,3077.209241
0.55,10,3082.595548
0.15,5,3085.463061
0.1,4,3087.781848
0.21,6,3091.083276
0.55,10,3096.436864
0.15,5,3099.219955
0.36,8,3103.489081
0.21,6,3106.724663
0.36,8,3111.07556
0.28,7,3114.827413
1.05,14,3122.415023
0.66,11,3128.351164
0.45,9,3133.253144
0.36,8,3137.603547
0.36,8,3141.921806
0.15,5,3144.723749
0.78,12,3151.025972
0.78,12,3157.52889
0.1,4,3159.847262
0.66,11,3165.964783
0.45,9,3170.934289
0.66,11,3176.785941
0.78,12,3183.121675
0.21,6,3186.40587
0.91,13,3193.25894
0.28,7,3197.210492
0.78,12,3203.495984
0.21,6,3206.780061
0.36,8,3210.99883
0.1,4,3213.265697
0.78,12,3219.63466
0.45,9,3224.553046
0.28,7,3228.387805
1.2,15,3236.439793
0.15,5,3239.573622
0.78,12,3245.859786
0.21,6,3249.161294
0.15,5,3251.92834
0.66,11,3257.813013
0.91,13,3264.916228
0.21,6,3268.216717
1.36,16,3276.919068
0.21,6,3280.203448
0.36,8,3284.437754
0.28,7,3288.655572
0.28,7,3292.457703
0.91,13,3299.591383
0.28,7,3303.360757
1.2,15,3311.312933
0.91,13,3318.579941
0.45,9,3323.399099
0.45,9,3328.182859
1.36,16,3336.701439
1.05,14,3344.753946
0.36,8,3349.172467
0.21,6,3352.438987
0.36,8,3356.672467
0.45,9,3361.522174
0.15,5,3364.688507
0.36,8,3369.211248
0.45,9,3374.027202
0.36,8,3378.311691
0.15,5,3381.062761
0.36,8,3385.43059
0.91,13,3392.548481
0.21,6,3395.782847
0.1,4,3398.000411
0.15,5,3401.100019
0.15,5,3404.200465
1.05,14,3411.906055
0.36,8,3416.203893
0.36,8,3420.655009
2.31,21,3431.973238
0.91,13,3446.658594
1.36,16,3455.128184
0.36,8,3459.412374
0.66,11,3465.462594
0.1,4,3467.815257
1.36,16,3476.632683
0.78,12,3483.217916
0.78,12,3489.565311
0.15,5,3492.484895
0.28,7,3496.252894
0.66,11,3502.137778
0.21,6,3505.421532
0.15,5,3508.188019
0.91,13,3515.022598
0.91,13,3522.257087
0.36,8,3526.559103
0.21,6,3529.859418
0.15,5,3532.643105
0.55,10,3537.944652
0.21,6,3541.211895
0.78,12,3547.929401
0.15,5,3550.661799
0.55,10,3556.013675
0.1,4,3558.296897
0.28,7,3562.081829
0.45,9,3566.86619
0.21,6,3570.20074
0.78,12,3576.617056
0.15,5,3581.634637
0.91,13,3588.502782
0.36,8,3592.786909
0.78,12,3599.321977
1.36,16,3607.906039
0.45,9,3612.773797
0.91,13,3619.740887
0.45,9,3624.791757
1.53,17,3634.208969
0.55,10,3639.460731
1.9,19,3649.445419
0.36,8,3653.763018
1.36,16,3662.329768
0.28,7,3666.047934
0.91,13,3672.882618
0.36,8,3677.200404
0.91,13,3684.067145
0.66,11,3689.951549
0.78,12,3696.552245
0.45,9,3701.453467
0.21,6,3704.7037
0.15,5,3707.419925
0.66,11,3713.820503
0.78,12,3720.322955
1.05,14,3728.00727
1.05,14,3735.674371
0.21,6,3738.958462
0.21,6,3742.258815
1.2,15,3750.226407
1.05,14,3757.811747
0.55,10,3763.278578
0.78,12,3769.979318
0.21,6,3773.246247
1.71,18,3782.934115
1.05,14,3790.648754
0.36,8,3794.88285
0.36,8,3799.083037
0.66,11,3805.316745
0.21,6,3809.050636
0.45,9,3813.968384
0.21,6,3817.218569
0.45,9,3822.036172
0.91,13,3828.786883
1.2,15,3836.904119
0.36,8,3841.123168
0.55,10,3846.406419
1.53,17,3855.607406
0.21,6,3858.875045
0.21,6,3862.192217
1.36,16,3870.576872
0.78,12,3877.194183
0.91,13,3884.127494
1.05,14,3891.74777
0.28,7,3895.545887
0.28,7,3899.329817
0.55,10,3905.130545
0.45,9,3909.964785
1.05,14,3917.398985
0.55,10,3922.88259
0.66,11,3928.783956
1.05,14,3936.517101
0.36,8,3940.785601
0.21,6,3944.119076
0.91,13,3950.952787
0.55,10,3956.319598
0.28,7,3960.124108
0.21,6,3963.421679
0.36,8,3967.756001
0.66,11,3973.872147
0.21,6,3977.173501
1.2,15,3985.357162
1.71,18,3994.94104
1.05,14,4009.676578
0.36,8,4013.977495
0.78,12,4020.6944
0.21,6,4023.962458
0.21,6,4027.211393
0.36,8,4031.537154
0.55,10,4036.845316
0.28,7,4040.622551
0.91,13,4047.445878
0.78,12,4053.505867
0.78,12,4059.447117
0.91,13,4065.988516
1.2,15,4073.263429
0.91,13,4079.855796
0.55,10,4084.967436
0.55,10,4090.260926
2.53,22,4101.996769
0.55,10,4107.3931
0.55,10,4112.520258
1.2,15,4119.967384
1.05,14,4127.312452
0.15,5,4130.109456
0.66,11,4136.370387
0.28,7,4140.300124
0.66,11,4146.179742
0.36,8,4150.528308
0.15,5,4153.275407
0.91,13,4160.471389
1.36,16,4168.882938
0.78,12,4175.228145
0.91,13,4181.892579
0.55,10,4187.288911
1.05,14,4194.984534
0.55,10,4200.348859
0.78,12,4206.779979
0.28,7,4210.577514
0.66,11,4216.492641
0.21,6,4219.78984
0.55,10,4225.055202
0.45,9,4229.885684
0.15,5,4232.618311
0.78,12,4239.231861
1.36,16,4245.962915
1.36,16,4254.309644
0.78,12,4260.475279
0.78,12,4266.923445
1.05,14,4274.653106
1.9,19,4284.549767
0.91,13,4291.448395
1.71,18,4301.112142
0.91,13,4308.093814
0.45,9,4312.892496
1.2,15,4320.740461
0.1,4,4322.906207
0.45,9,4327.705707
1.36,16,4336.40406
0.36,8,4340.702908
1.9,19,4350.850685
0.91,13,4357.76663
1.36,16,4366.231838
0.55,10,4371.680359
1.05,14,4379.213081
0.36,8,4384.079622
0.45,9,4389.260848
0.1,4,4391.526865
0.91,13,4398.558113
1.36,16,4407.040178
1.2,15,4414.973681
0.78,12,4421.58883
1.71,18,4431.104783
1.36,16,4439.353041
0.91,13,4446.433026
0.78,12,4452.818186
0.45,9,4457.649842
0.36,8,4461.949138
0.28,7,4465.682457
1.53,17,4474.796835
1.05,14,4482.163563
0.66,11,4488.362346
0.1,4,4490.646142
0.15,5,4493.461584
1.2,15,4501.344314
1.36,16,4509.909819
0.78,12,4516.392628
0.45,9,4521.257749
0.78,12,4527.657397
1.05,14,4535.272249
0.55,10,4540.640701
0.1,4,4542.907104
0.55,10,4548.274112
1.05,14,4555.974096
0.66,11,4561.808651
0.66,11,4567.692221
0.55,10,4573.112298
0.15,5,4575.943078
1.05,14,4583.709258
0.28,7,4587.609785
1.2,15,4596.359648
0.28,7,4600.245627
1.05,14,4607.811772
0.15,5,4618.944879
1.2,15,4627.89566
0.78,12,4635.229094
0.91,13,4642.396224
1.05,14,4649.948192
0.78,12,4656.380325
0.45,9,4661.163044
0.21,6,4664.480208
0.45,9,4669.346975
0.91,13,4676.264496
0.91,13,4683.246804
0.78,12,4689.764151
0.21,6,4692.980043
0.66,11,4698.731507
2.1,20,4711.714121
0.66,11,4718.230019
2.76,23,4731.230505
1.05,14,4738.965116
1.05,14,4746.730968
3.25,25,4760.030838
1.53,17,4769.231211
1.36,16,4777.597634
0.78,12,4783.964367
1.36,16,4792.431154
0.78,12,4799.112886
1.53,17,4808.297368
2.31,21,4819.46608
0.78,12,4825.89769
0.91,13,4832.88135
0.91,13,4839.964271
0.91,13,4847.129917
0.91,13,4853.996365
1.05,14,4861.696329
1.53,17,4870.862664
0.45,9,4875.662883
0.36,8,4879.912673
0.91,13,4887.145927
2.1,20,4897.861978
0.55,10,4903.249761
1.36,16,4912.228451
0.91,13,4919.361561
1.05,14,4927.063784
1.05,14,4934.89343
1.53,17,4944.01179
2.31,21,4955.322652
1.71,18,4965.672905
0.91,13,4973.159657
1.05,14,4980.809096
1.2,15,4988.961602
1.05,14,4996.658523
1.2,15,5004.774558
0.91,13,5011.991124
0.78,12,5018.308127
0.91,13,5025.540978
1.36,16,5034.257537
1.53,17,5043.141283
1.05,14,5050.789891
1.53,17,5059.938438
1.05,14,5067.221579
1.05,14,5074.789515
0.45,9,5079.588752
1.53,17,5088.671961
1.05,14,5096.355095
2.31,21,5107.604369
0.45,9,5112.554554
1.2,15,5120.620551
4.06,28,5135.303172
1.36,16,5144.052287
2.53,22,5155.884868
1.2,15,5163.953562
1.05,14,5171.584213
1.2,15,5179.734386
1.2,15,5187.700615
3.0,24,5200.448445
1.36,16,5209.098342
1.36,16,5217.699084
1.36,16,5226.33012
1.53,17,5235.431374
1.2,15,5243.547309
0.91,13,5250.729839
1.71,18,5260.329378
1.71,18,5269.729439
